url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2074,1078
/awslabs/fullstack-solution-template-for-agentcore/pulls,270,40
/awslabs/fullstack-solution-template-for-agentcore/tree/main,235,114
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,193,84
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,170,76
/awslabs/fullstack-solution-template-for-agentcore/issues,158,34
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,92,49
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,86,43
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,85,45
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,81,55
