url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,2057,1056
/awslabs/fullstack-solution-template-for-agentcore/pulls,248,39
/awslabs/fullstack-solution-template-for-agentcore/tree/main,231,112
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,201,87
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,173,76
/awslabs/fullstack-solution-template-for-agentcore/issues,150,34
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,95,48
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,92,52
/awslabs/fullstack-solution-template-for-agentcore/tree/main/frontend,83,55
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,82,41
