url_path,views_total,views_unique
/awslabs/fullstack-solution-template-for-agentcore,1964,1011
/awslabs/fullstack-solution-template-for-agentcore/tree/main,252,124
/awslabs/fullstack-solution-template-for-agentcore/pulls,252,39
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/DEPLOYMENT.md,196,85
/awslabs/fullstack-solution-template-for-agentcore/tree/main/infra-cdk,170,75
/awslabs/fullstack-solution-template-for-agentcore/issues,165,36
/awslabs/fullstack-solution-template-for-agentcore/tree/main/patterns,92,49
/awslabs/fullstack-solution-template-for-agentcore/tree/main/docs,86,46
/awslabs/fullstack-solution-template-for-agentcore/pull/38,81,13
/awslabs/fullstack-solution-template-for-agentcore/blob/main/docs/architecture-diagram/FAST-architecture-20251201.png,77,39
