referrer,views_total,views_unique
Google,800,253
github.com,587,91
linkedin.com,204,106
statics.teams.cdn.office.net,141,55
youtube.com,100,19
qiita.com,63,9
meetup.com,35,8
Bing,27,7
broadcast.amazon.com,13,8
lnkd.in,13,8
