referrer,views_total,views_unique
Google,713,237
github.com,564,84
linkedin.com,168,97
statics.teams.cdn.office.net,128,50
youtube.com,116,23
qiita.com,63,9
meetup.com,31,4
Bing,23,5
lnkd.in,15,10
broadcast.amazon.com,14,9
