time_iso8601,stars_cumulative
2026-01-15 00:00:00+00:00,14
2026-01-16 00:00:00+00:00,46
2026-01-17 00:00:00+00:00,99
2026-01-18 00:00:00+00:00,137
2026-01-19 00:00:00+00:00,173
2026-01-20 00:00:00+00:00,184
2026-01-21 00:00:00+00:00,194
2026-01-22 00:00:00+00:00,201
2026-01-23 00:00:00+00:00,211
2026-01-24 00:00:00+00:00,213
2026-01-25 00:00:00+00:00,217
2026-01-26 00:00:00+00:00,219
2026-01-27 00:00:00+00:00,221
2026-01-28 00:00:00+00:00,223
2026-01-29 00:00:00+00:00,224
2026-01-30 00:00:00+00:00,227
2026-01-31 00:00:00+00:00,228
2026-02-01 00:00:00+00:00,229
2026-02-02 00:00:00+00:00,232
2026-02-03 00:00:00+00:00,237
2026-02-04 00:00:00+00:00,245
2026-02-05 00:00:00+00:00,248
2026-02-06 00:00:00+00:00,250
2026-02-07 00:00:00+00:00,252
2026-02-08 00:00:00+00:00,254
2026-02-09 00:00:00+00:00,261
2026-02-10 00:00:00+00:00,278
2026-02-11 00:00:00+00:00,283
2026-02-12 00:00:00+00:00,285
2026-02-13 00:00:00+00:00,293
2026-02-14 00:00:00+00:00,294
2026-02-15 00:00:00+00:00,295
2026-02-16 00:00:00+00:00,299
2026-02-17 00:00:00+00:00,304
2026-02-18 00:00:00+00:00,308
2026-02-19 00:00:00+00:00,309
2026-02-20 00:00:00+00:00,313
2026-02-21 00:00:00+00:00,319
2026-02-22 00:00:00+00:00,323
2026-02-23 00:00:00+00:00,324
2026-02-24 00:00:00+00:00,325
2026-02-25 00:00:00+00:00,327
2026-02-26 00:00:00+00:00,332
2026-02-27 00:00:00+00:00,335
2026-03-01 00:00:00+00:00,336
2026-03-05 00:00:00+00:00,337
